
[2013-05-18 07:22:42.684867] [ERROR] Object does not fit within bounds. (pos=(1370, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:23:23.292739] [ERROR] Object does not fit within bounds. (pos=(1366, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.323347] [SMELL] Object does not fit within bounds. (pos=(-1, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.331423] [SMELL] Object does not fit within bounds. (pos=(-2, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.338379] [SMELL] Object does not fit within bounds. (pos=(-3, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.345293] [SMELL] Object does not fit within bounds. (pos=(-4, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.352796] [SMELL] Object does not fit within bounds. (pos=(-5, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.359431] [SMELL] Object does not fit within bounds. (pos=(-6, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.368599] [SMELL] Object does not fit within bounds. (pos=(-7, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.376151] [SMELL] Object does not fit within bounds. (pos=(-8, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.382902] [SMELL] Object does not fit within bounds. (pos=(-9, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.389686] [SMELL] Object does not fit within bounds. (pos=(-10, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.397072] [SMELL] Object does not fit within bounds. (pos=(-11, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.404074] [SMELL] Object does not fit within bounds. (pos=(-12, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.413656] [SMELL] Object does not fit within bounds. (pos=(-13, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.422843] [SMELL] Object does not fit within bounds. (pos=(-14, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.432413] [SMELL] Object does not fit within bounds. (pos=(-15, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.442126] [SMELL] Object does not fit within bounds. (pos=(-16, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.450349] [SMELL] Object does not fit within bounds. (pos=(-17, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.459124] [SMELL] Object does not fit within bounds. (pos=(-18, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.465733] [SMELL] Object does not fit within bounds. (pos=(-19, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.472302] [SMELL] Object does not fit within bounds. (pos=(-20, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.479416] [SMELL] Object does not fit within bounds. (pos=(-21, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.489297] [SMELL] Object does not fit within bounds. (pos=(-22, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.499972] [SMELL] Object does not fit within bounds. (pos=(-23, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.510577] [SMELL] Object does not fit within bounds. (pos=(-24, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.518370] [SMELL] Object does not fit within bounds. (pos=(-25, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.525622] [SMELL] Object does not fit within bounds. (pos=(-26, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.533384] [SMELL] Object does not fit within bounds. (pos=(-27, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:02.540600] [SMELL] Object does not fit within bounds. (pos=(-28, 10), size=<rect(0, 0, 1366, 768)>)
